sasdate,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,acc3,acc6,acc12
2003-05-01,23228716642931.973,101406241831458.14,-91943905400697.16,17474076912906.457,102983613468473.08,-173917518414089.38,50369061834608.414,17573300861587.617,-68192101088771.95,59454822549211.734,-53161518727070.11,-130398034717770.11,2.4440016165103968e+41,1.318694803240958e+83,-5.88445679601465e+164
2003-06-01,170093462535061.72,-103158307419562.86,287580132480892.6,-6694452740017.761,-41644879489613.62,18834134714770.97,50105715117106.55,-34124886165208.95,44818985438621.69,14250282941509.633,-10207845600915.215,124601691847313.48,-2.106402949896389e+42,2.879918398695913e+83,-7.591533611520982e+163
2003-07-01,72324407315460.02,106823957428101.27,-55926009925962.61,86971026434453.33,58988514313199.14,146746894284802.62,-114279777649923.89,-23121316873131.715,69384505165181.08,111147793644428.81,-77123713377938.45,9611147514965.498,1.34011867563259e+41,9.679165886237387e+82,-2.278183327759765e+161
2003-08-01,-242228110402174.53,70774952792322.12,-73866877358702.86,-14553289796540.34,-116088837432387.48,-254154196158008.22,91234931597376.12,34462536307073.047,-241585266620195.6,-73190610171005.58,32941555993969.85,-8425533080778.498,-1.3421653572938204e+42,2.4529082921373593e+82,-4.751779541474174e+163
2003-09-01,34293698334251.043,-248158233012410.4,-112130048758047.03,90672979183409.67,111248790466091.3,154042648673601.28,-35609011112829.51,-57830603558470.07,297092602858686.7,47664456249277.25,-85410004001872.36,48211872011939.445,-5.73966417437583e+41,3.2760271281253943e+84,-5.470078384133351e+163
2003-10-01,66063739114751.32,212396783867770.6,194912805810051.62,47971393688306.55,-283059251924232.1,-18035309031104.23,-81692580002712.44,46171822869197.09,-63964677568941.36,97867542556240.98,-60783551374106.266,-126087073683565.8,1.171638415213036e+43,3.913121413329376e+81,-1.5495994196175817e+166
2003-11-01,122577332490272.28,-271541954906961.5,34795420597488.05,-46133648143609.42,-93700112938960.14,-118972929952701.53,53255024425760.35,39172895054781.59,-127197844996815.05,-197420150012287.53,90279650805178.89,123846253562884.56,2.534453631345944e+41,-4.098353562490707e+84,-1.324274929246102e+166
2003-12-01,3520046301714.565,311682568084701.1,-144272693424047.38,15464106825446.355,314921926921745.5,-129621989744829.89,37858666334378.6,-22005856825224.344,407598234179976.0,175018956295250.34,-141010687685084.56,-68294118515569.71,2.5881189372416717e+42,-3.3441643807046993e+83,2.0332955130458283e+167
2004-01-01,-2611675837748.6357,-94140558657323.39,61323881003047.72,2859397675288.759,3154265431431.0254,32235369425286.336,32573614282129.07,33328052400031.47,-149282138432666.97,55709437555365.805,18876119682361.824,-24959880388207.36,2.3428922288081193e+42,-5.487151528975985e+84,-2.269776168195752e+166
2004-02-01,-44801319839620.53,158861363974272.84,-197026240129862.8,129701201778055.92,15433122596209.662,216097001237302.44,-99291139937761.4,-20261398988808.87,-38250019877787.39,-122873474640451.33,31108626819984.082,247195409273540.4,6.529038312388204e+40,2.671506085769237e+81,4.189249359892289e+165
